Brand,Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C
Head Tennis,YOUTEK MOJO,52 - 62,20'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,YOUTEK PRESTIGE MID,52 - 62,20'M - 17'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Head Tennis,YOUTEK PRESTIGE MP,52 - 62,21'M - 17'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B
Head Tennis,YOUTEK PRESTIGE PRO MP,52 - 62,21'M - 17'C,16M X 19C,8T - 8B,7B,8T,6T - 7B
Head Tennis,YOUTEK RADICAL LITE OS,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Head Tennis,YOUTEK RADICAL MP,52 - 62,20'M - 18'C,18M X 20C,"8,10T - 9B",8B,8T,6T - 7B
Head Tennis,YOUTEK RADICAL OS,52 - 62,21'M - 18'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,YOUTEK RADICAL PRO,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,4T - 5B
Head Tennis,YOUTEK RAPTOR MP,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK RAPTOR OS,54 - 64,20'M - 18'C,16M X 19C,"8T - 7,9B",8B,8T,6T - 6B
Head Tennis,YOUTEK SEVEN STAR,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 4B
Head Tennis,YOUTEK SIX STAR,52 - 62,21'M - 18'C,16M X 19C,"7,9B",6B,7T,5T - 4B
Head Tennis,YOUTEK SPEED 300,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 5B
Head Tennis,YOUTEK SPEED ELITE,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 5B
Head Tennis,YOUTEK SPEED LITE,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 5B
Head Tennis,YOUTEK SPEED MP (16x19 pattern),52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 5B
Head Tennis,YOUTEK SPEED MP (18x20 pattern),52 - 62,20'M - 19'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Head Tennis,YOUTEK SPEED PRO,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 5B
Head Tennis,YOUTEK THREE STAR,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 7,9,10B",8B,7T,5T - 6B
Prince Tennis,AIR DB MP,53 - 63,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,AIR DB OS,57 - 67,21'M - 19'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 10B
Prince Tennis,AIR FREAK MP,53 - 63,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,AIR FREAK OS,55 - 65,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,AIR O REBEL OS,55 - 65,39' - 10'S,16M X 19C,"7,9T - 7,9B",5T,7T,9B
Prince Tennis,AIR O SCREAM MP,53 - 63,39' - 10'S,16M X 19C,"7,9T - 7,9B",8T,7T,9B
Prince Tennis,AIR O SCREAM OS,53 - 63,39' - 10'S,16M X 19C,"7,9T - 7,9B",8T,7T,8B
Prince Tennis,AIR VANQUISH MP,53 - 63,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,AIR VANQUISH OS,55 - 65,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,AIRDRIVE B900 MP,53 - 63,20'M - 19'C,16M X 20C,"7,9B",8B,7T,5T - 6B
Prince Tennis,AIRDRIVE B975 OS,60 - 70,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,AIRLAUNCH B875 MP,53 - 63,19'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,AIRLAUNCH B925 OS,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,AIRSTICK B1025 OS,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,AIRSTICK B975 MP,53 - 63,20'M - 19'C,16M X 20C,"7,9B",8B,7T,5T - 6B
Prince Tennis,BEAST 100 TEXTREME,50 - 60,20'M - 19'C,16M X 19C,"8T - 7,9B",8B,8T,7T - 6B
Prince Tennis,BEAST 98 TEXTREME,48 - 58,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,BEAST O3 100 TEXTREME,48 - 58,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B
Prince Tennis,BEAST O3 98 TEXTREME,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 6B
Prince Tennis,BEAST OS 104 TEXTREME,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 6B
Prince Tennis,BLUE LS 110,55 - 65,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,10T - 9B
Prince Tennis,CLASSIC GRAPHITE 100 & 100LB,53 - 63,20'M - 18'C,16M X 18C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,CLASSIC GRAPHITE 107,57 - 67,21'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,CLASSIC RESPONSE 97,50 - 60,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,CTS APPROACH 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS APPROACH 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,CTS BLAST 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS BLAST MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS GRADUATE 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS GRADUATE 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,CTS LIGHTNING 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS LIGHTNING 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,CTS PRECISION 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS PRECISION 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,CTS RESPONSE 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS RESPONSE 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,CTS STORM 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS STORM MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY 26 MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY 26 OS,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY 28 MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY 28 OS,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY 32 MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY 32 OS,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY DB 26 MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY DB 26 OS,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY LITE MP,50 - 65,18'M -18'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS SYNERGY LITE OS,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS THUNDERSTICK 110,55 - 70,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,CTS THUNDERSTICK 90,50 - 65,17'M - 17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,DIABLO XP MP,51 - 61,20'M - 19'C,16M X 20C,"8T - 7,9B",8B,8T,5T - 6B
Prince Tennis,DIABLO XP OS,55 - 65,21'M - 19'C,16M X 19C,8T- 8B,6B,8T,5T - 11B
Prince Tennis,EXO3 BLACK 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 BLACK TEAM 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 BLUE 110,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 GRAPHITE 100,50 - 60,18'M - 17'C,16M X 18C,8T - 8B,7T,8T,9T - 9B
Prince Tennis,EXO3 GRAPHITE 93,50 - 60,18'M - 17'C,16M X 18C,8T - 8B,7T,8T,9T - 9B
Prince Tennis,EXO3 HORNET 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 HORNET 110,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 HYBRID 100,51 - 61,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,EXO3 HYBRID 104,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,EXO3 HYBRID 110,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 HYBRID GOLD 107,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 HYBRID RED 102,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 IGNITE 95,53 - 63,20'M - 18'C,16M X 18C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 IGNITE TEAM 95,53 - 63,20'M - 18'C,16M X 18C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 REBEL 95,50 - 60,21'M - 18'C,18M X 20C,"8,10T - 9B",8B,8T,9T - 10B
Prince Tennis,EXO3 REBEL 98,50 - 60,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 REBEL 98 TEAM,50 - 60,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 REBEL TEAM 95,50 - 60,21'M - 18'C,18M X 20C,"8,10T - 9B",8B,8T,9T - 10B
Prince Tennis,EXO3 RED 105,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 SILVER 115,57 - 67,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 SILVER 118,57 - 67,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 TOUR 100 (16x18),53 - 63,20'M - 19'C,16M X 18C,8T - 8B,7T,8T,9T - 7B
Prince Tennis,EXO3 TOUR 100 (18x20),50 - 60,20'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,7T - 7B
Prince Tennis,EXO3 TOUR LITE 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,EXO3 TOUR TEAM 100 (16X18),53 - 63,20'M - 19'C,16M X 18C,8T - 8B,7T,8T,9T - 7B
Prince Tennis,EXO3 WARRIOR 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,EXO3 WARRIOR DB TEAM 100,53 - 63,20'M - 19'C,14M X 18C,7T - 7B,6B,7T,8T - 5B
Prince Tennis,EXO3 WARRIOR TEAM,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,10T - 8B
Prince Tennis,EXO3 WHITE 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 8B",8T,7T,10T - 6B
Prince Tennis,EXO3 WHITE LITE 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 8B",8T,7T,10T - 6B
Prince Tennis,EXTENDER BLAST 700,50 - 65,19'M -18'C,16M X 21C,"7,9T - 6,8,10B",8T,7T,6T - 5B
Prince Tennis,EXTENDER FORCE 740,50 - 65,20'M -18'C,16M X 21C,"8T - 6,8,10B",7T,8T,6T - 5B
Prince Tennis,EXTENDER GRAPHITE 830,50 - 65,19'M -19'C,16M X 21C,"8T - 6,8,10B",7T,8T,6T - 5B
Prince Tennis,EXTENDER LIGHTNING 730,50 - 65,19'M -18'C,16M X 21C,"7,9T - 6,8,10B",8T,7T,6T - 5B
Prince Tennis,EXTENDER MACH 1000,50 - 65,20'M -19'C,16M X 21C,"8T - 6,8,10B",7T,8T,6T - 5B
Prince Tennis,EXTENDER RIPSTICK 800,50 - 65,19'M -18'C,16M X 21C,"7,9T - 6,8,10B",8T,7T,6T - 5B
Prince Tennis,EXTENDER SYNERGY 840,50 - 65,19'M -19'C,16M X 21C,"8T - 6,8,10B",7T,8T,6T - 5B
Prince Tennis,EXTENDER THUNDER 880,50 - 65,20'M -19'C,16M X 21C,"8T - 6,8,10B",7T,8T,6T - 5B
Prince Tennis,GRAPHITE CLASSIC 110,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,GRAPHITE CLASSIC 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE COMP 110,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,GRAPHITE COMP 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE COMP XB MP,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE COMP XB OS,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,GRAPHITE II MP,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE II OS,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,GRAPHITE LITE XB MP,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE LITE XB OS,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,GRAPHITE PRO 110,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,GRAPHITE PRO 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE PRO XB MP,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,GRAPHITE PRO XB OS,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,HORNET ES 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,HORNET ES 110,55 - 65,20'M - 20'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,LIGHTNING 100,48 - 58,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,LIGHTNING 105,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 7B
Prince Tennis,LIGHTNING 110,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,MICHAEL CHANG GRAPHITE MP,50 - 65,17'M -16'C,14M X 18C,7T - 7B,6B,7T,6T - 8B
Prince Tennis,MICHAEL CHANG GRAPHITE OS,50 - 65,18'M -18'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,MICHAEL CHANG TITANIUM MP,53 - 63,17'M - 16'C,14M X 18C,7T - 7B,6B,7T,6T - 8B
Prince Tennis,MICHAEL CHANG TITANIUM OS,57 - 67,18'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,MORE APPROACH 105,57 - 67,18'M - 18'C,16M X 19C,"7T - 7,9B",8T,7T,8T - 8B
Prince Tennis,MORE ATTACK 1050 S OS,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 7B
Prince Tennis,MORE ATTACK 920 S MP,53 - 63,19'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,MORE BALANCE 950 S MP,53 - 63,19'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,MORE CONTROL DB 800 MP,53 - 63,18'M - 17'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 9B
Prince Tennis,MORE CONTROL DB 850 OS,57 - 67,18'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 7B
Prince Tennis,MORE DOMINANT OS,57 - 67,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 9B
Prince Tennis,MORE GAME MP,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,MORE GAME OS,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 7B
Prince Tennis,MORE POWER 1150 S OS,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,5T - 6B
Prince Tennis,MORE POWER 1500 S OS,57 - 67,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,MORE PRECISION MP,53 - 63,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 9B
Prince Tennis,MORE PRECISION OS,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 7B
Prince Tennis,MORE RESPONSE MP,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,MORE RESPONSE OS,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,5T - 6B
Prince Tennis,MORE THUNDER OS,57 - 67,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 9B
Prince Tennis,O3 BLUE,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,O3 CITRON OS,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,O3 HYBRID COMP MP,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,O3 HYBRID HORNET MP,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID HORNET OS,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID LITE OS,55 - 65,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID SHARK MP,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID SHARK OS,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID SPECTRUM MP,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID SPECTRUM OS,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 HYBRID TOUR,51 - 61,20'M - 18'C,16M X 18C,"7,9T 7,9B",8T,7T,6T - 8B
Prince Tennis,O3 PINK OS,57 - 67,22'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,O3 RED MP,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,O3 ROYAL,55 - 65,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,O3 SILVER OS,57 - 67,22'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,O3 SPEEDPORT BLACK,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT BLACK LB,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT BLACK TEAM,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT BLUE,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT GOLD OS,57 - 67,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT PLATINUM OS,59 - 69,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT PRO WHITE MP,53 - 63,20'M - 19'C,18M X 19C,"8,10T - 8,10B",9B,8T,9T - 8B
Prince Tennis,O3 SPEEDPORT RED,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT SILVER,57 - 67,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT TOUR,53 - 63,20'M - 19'C,16M X 18C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 SPEEDPORT WHITE MP,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 TOUR 100,53 - 63,21'M - 19'C,16M X 18C,8T - 8B,7T,8T,9T - 9B
Prince Tennis,O3 TOUR MS,51 - 61,21'M - 19'C,16M X 20C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,O3 TOUR OS,55 - 65,21'M - 19'C,16M X 19C,8T - 8B,7T,8T,9T - 9B
Prince Tennis,O3 WHITE MP,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,OZONE PRO TOUR MP,53 - 63,21'M - 19'C,18M X 20C,"8,10T - 8,10B",9B,8T,7T - 7B
Prince Tennis,OZONE FOUR,55 - 65,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,OZONE ONE,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,OZONE SEVEN,53 - 63,21'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,OZONE TOUR MP,53 - 63,21'M - 19'C,16M X 18C,8T - 8B,7T,8T,9T - 9B
Prince Tennis,PERSUADER OS,50 - 60,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,PHANTOM 100 TEXTREME,45 - 55,20'M - 19'C,16M X 18C,8T - 8B,7T,8T,9T - 7B
Prince Tennis,PHANTOM PRO 100 TEXTREME 16X18,45 - 55,20'M - 19'C,16M X 18C,8T - 8B,7T,8T,9T - 7B
Prince Tennis,PHANTOM PRO 100 TEXTREME 18X20,45 - 55,20'M - 20'C,18M X 20C,"8,10T - 8,10B",9B,8T,7T - 7B
Prince Tennis,PHANTOM PRO 100P TEXTREME,45 - 55,20'M - 19'C,16M X 18C,8T - 8B,7B,8T,7T - 10B
Prince Tennis,PHANTOM PRO 93P TEXTREME 14X18,48 - 58,17'M - 15'C,14M X 18C,7T - 7B,6T,7T,8T - 6B
Prince Tennis,PHANTOM PRO 93P TEXTREME 18X20,45 - 55,20'M - 19'C,18M X 20C,"8,10T - 8,10B",9B,8T,7T - 7B
Prince Tennis,PINK LS,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,PRECISION 690,53 - 63,18'M -18'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,PRECISION 720,53 - 63,18'M -17'C,16M X 18C,8T - 8B,6T,8T,5T -11B
Prince Tennis,PRECISION 730,53 - 63,17'M -16'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,PRECISION 770,57 - 67,19'M -17'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,PRECISION APPROACH Ti MP,53 - 63,19'M - 19'C,16M X 19C,"7,9T - 7,9B",6T,7T,5T - 8B
Prince Tennis,PRECISION APPROACH Ti OS,57 - 67,21'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Prince Tennis,PRECISION EQUIPE LONGBODY MP,53 - 63,19'M -19'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,PRECISION EQUIPE LONGBODY OS,53 - 63,21'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Prince Tennis,PRECISION EQUIPE MP,53 - 63,19'M -19'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,PRECISION EQUIPE OS,57 - 67,21'M -18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Prince Tennis,PRECISION GRAPHITE 640,50 - 65,18'M -18'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,PRECISION GRAPHITE 700,50 - 65,20'M -18'C,18M X 21C,"8,10T - 8,10B",9T,8T,7T - 6B
Prince Tennis,PRECISION MONO 650,53 - 65,18'M- 18'C,16M X 21C,"7,9T - 6,8,10B",8T,7T,3B
Prince Tennis,PRECISION RESPONSE 660,50 - 65,18'M -17'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,PRECISION RESPONSE 710,50 - 65,20'M -18'C,18M X 21C,"8,10T - 8,10B",9T,8T,7T - 6B
Prince Tennis,PRECISION SPECTRUM 630,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,PRECISION SPECTRUM 670,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,PREMIER 105 (textreme),53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B
Prince Tennis,PREMIER 105 ESP & 105L ESP,57 - 67,19'M - 18'C,14M X 16C,7T - 7B,6T,7T,8T - 6B
