Brand,Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C
Head Tennis,METALLIX 2,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B
Head Tennis,METALLIX 4,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B
Head Tennis,METALLIX 6,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B
Head Tennis,MICROGEL EXTREME,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,MICROGEL EXTREME MP (red at throat),52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,MICROGEL EXTREME PRO,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,MICROGEL EXTREME PRO MP (red at throat),52 - 62,20'M - 17'C,16M X 19C,"7,9T - 79B",8B,8T,8T - 5B
Head Tennis,MICROGEL EXTREME TEAM OS,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,MICROGEL EXTREME TEAM OS (red at throat),52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,MICROGEL INSTINCT MP,52 - 62,20'M - 17'C,18M X 19C,"8,10T - 8,10B",9B,8T,6T - 7B
Head Tennis,MICROGEL MOJO,52 - 62,20'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,MICROGEL MONSTER,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,MICROGEL PRESTIGE MID,52 - 62,20'M - 17'C,18M X 20C,"8,10 T - 8,10B",9B,8T,6T - 7B
Head Tennis,MICROGEL PRESTIGE MP,52 - 62,21'M - 18'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B
Head Tennis,MICROGEL PRESTIGE PRO MP,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,MICROGEL RADICAL MP,52 - 62,20'M - 17'C,18M X 20C,"8,10T - 9B",8B,8T,6T - 7B
Head Tennis,MICROGEL RADICAL OS,52 - 62,21'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,MICROGEL RADICAL PRO MP,52 - 62,20'M - 17'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Head Tennis,MICROGEL RADICAL TEAM,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,MICROGEL RAPTOR MP,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,MICROGEL RAPTOR OS,54 - 64,20'M - 17'C,16M X 19C,"8T - 7,9B",8B,8T,6T - 6B
Head Tennis,MXG 3,48 - 57,20'M - 18'C,16M X 18C,"7,9T - 7,9B",8B,7T,6T - 9B
Head Tennis,MXG 5,48 - 57,20'M - 18'C,16M X 18C,"7,9T - 7,9B",8B,7T,6T - 9B
Head Tennis,NANO Ti ELITE,55 - 64,20'M - 18'C,16M X 19C,"7,9,10T - 8B",6B,7T,5T - 11B
Head Tennis,NANO Ti EXTREME,55 - 64,20'M - 19'C,16M X 19C,"8T - 8,9B",7B,8T,7T - 6B
Head Tennis,POLARIS 600,54 - 64,34' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Head Tennis,POLARIS 660,63 - 74,35' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Head Tennis,POLARIS 720,65 - 77,37' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,6T
Head Tennis,PREMIER TOUR,53 - 64,36' - 9'S,16M X 18C,"7,9T - 7,9B",8T,7T,5B
Head Tennis,PRESTIGE CLASSIC MID,48 - 58,35' - 10'S,18M X 20C,"8,10T - 8,10B",9B,8B,9T
Head Tennis,PRESTIGE MP (graphene & graphene XT),48 - 57,21'M - 18'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B
Head Tennis,PRESTIGE PRO (graphene & graphene XT),48 - 57,21'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
